cleaned_term,source_code,source_term,mapped_concept_id,mapped_concept_name,mapped_rationale
"Chronic haematogenous osteomyelitis, ankle and foot",37225373,"Other chronic haematogenous osteomyelitis, ankle and foot",-1,no_match,"The source term specifies three key elements: (1) chronic course, (2) haematogenous etiology, and (3) anatomical site limited to ankle and foot. None of the candidate concepts preserve all three details simultaneously. The closest matches are 137077 (captures chronic and ankle/foot but omits haematogenous etiology) and 36714236 (captures chronic and haematogenous but omits ankle/foot location). Because every available target either omits the etiological qualifier or the anatomical specificity, there is no exact equivalent concept. Selecting any candidate would violate the requirement to maintain the full specificity of the source term."
"Osteonecrosis, multiple sites",37225618,"Osteonecrosis in other diseases classified elsewhere, multiple sites",-1,no_match,"The source term specifies osteonecrosis affecting multiple anatomical sites without indicating a specific etiology. No candidate concept captures both (1) osteonecrosis and (2) involvement of multiple sites, without adding extra causal detail. 
- Concept 4287786 ""Osteonecrosis"" is too general (does not specify multiple sites).
- Concept 37160392 ""Osteonecrosis of multiple sites due to hemoglobinopathy"" is too specific (adds hemoglobinopathy etiology).
- Bilateral or location-specific concepts (e.g., bilateral hips, bilateral tibias, upper limb) are either limited to particular regions or laterality, not all possible multiple sites.
Therefore, no exact clinical equivalent exists among the provided targets."
"Chondrolysis, forearm",37225693,"Chondrolysis, forearm",-1,no_match,"The source term specifies chondrolysis (loss of articular cartilage) occurring in the forearm. None of the candidate concepts include the forearm location. Those that mention chondrolysis are either site-unspecified (broader) or limited to other anatomic sites (e.g., hip, femoral head). Under the requirement to preserve all specified clinical details, no exact equivalent exists among the provided targets."
Recurrent and persistent haematuria,37225820,"Recurrent and persistent haematuria, other",-1,no_match,"The source term explicitly combines two distinct clinical qualifiers—both recurrent and persistent haematuria—in a single concept. None of the candidate targets includes BOTH qualifiers simultaneously. Each candidate represents either recurrent haematuria or persistent haematuria (or more specific sub-types), but not the combined category. Selecting any one of these would lose part of the stated clinical detail, violating the requirement to preserve all key aspects of the source term. Therefore, no exact equivalent concept is present among the provided candidates."
Familial pulmonary arterial hypertension,37282746,Familial (FPAH),44783618,Heritable pulmonary arterial hypertension,"Concept 44783618 ""Heritable pulmonary arterial hypertension"" has the exact synonym ""Familial pulmonary arterial hypertension"" and represents the same clinical entity: pulmonary arterial hypertension occurring on a familial/heritable basis. It matches the source term in etiology (familial/heritable), anatomic site (pulmonary arteries), and disease type (arterial hypertension), with no addition or loss of specificity. Other candidates are either subordinate (e.g., specific gene mutations) or use outdated terminology (""primary"") but 44783618 is the precise standard equivalent."
Punctate keratosis,37320084,Punctate keratosis,-1,no_match,"None of the candidate concepts exactly match the source term. The closest option, ""Punctate palmoplantar keratoderma"" (concept_id 4300110), adds the specific location ""palmoplantar,"" which is not specified in the source term ""Punctate keratosis."" This introduces additional clinical detail and is therefore more specific than the source term, violating the requirement not to over-specify. All other candidates refer to different conditions (e.g., corneal keratopathy/keratitis, porokeratosis, psoriasis) or are too broad (e.g., ""Keratoderma""). Consequently, no exact equivalent concept is present in the candidate list."
"Dementia, moderate, with agitation",37402416,"Dementia in other diseases classified elsewhere, moderate, with agitation",-1,no_match,No candidate preserves both required details: (1) moderate severity of dementia and (2) presence of agitation. Each target concept omits at least one of these key clinical qualifiers or adds an etiology not specified in the source term.
"Dementia, severe, with anxiety",37402457,"Unspecified dementia, severe, with anxiety",-1,no_match,"None of the candidate concepts simultaneously capture both key components of the source term: (1) dementia at a specified severe stage and (2) co-existing anxiety. Each candidate either omits the severity qualifier (e.g., Anxiety due to dementia) or omits the anxiety component (e.g., Severe dementia). Therefore no exact clinical equivalent is present among the targets."
Cocaine use in remission,37402466,"Cocaine use, unspecified, in remission",-1,no_match,"The source term indicates cocaine use that is in remission but does not specify whether the prior use involved dependence, abuse, or another specific pattern. All candidate concepts add information not present in the source term (e.g., 'dependence', 'nondependent harmful pattern') or are too broad (e.g., 'Disorder in remission'). Because every available candidate is either more specific or more general than the source term, no exact clinical equivalent is present."
Stimulant use in remission,37402467,"Other stimulant use, unspecified, in remission",-1,no_match,"The source term indicates a general category of any stimulant use disorder that is currently in remission, without specifying subtype (e.g., dependence vs. abuse/harmful use) or specific stimulant agent. All candidate concepts add additional specificity (e.g., dependence, harmful/non-dependent patterns, specific substances such as amphetamine) that is not present in the source term. Conversely, the broader concepts that denote ‘disorder in remission’ or ‘substance dependence in remission’ omit the key detail that the substance involved is a stimulant. Therefore none of the provided target concepts exactly preserves the clinical scope and granularity of the source term, so no adequate match is available."
Hallucinogen use in remission,37402468,"Hallucinogen use, unspecified, in remission",-1,no_match,"None of the candidate concepts exactly represent ""Hallucinogen use in remission"". The concepts that are specific to hallucinogens all introduce additional qualifiers—either ""dependence"" or ""non-dependent harmful pattern""—that are not stated in the source term, thereby over-specifying it. The more generic remission concepts lack the required mention of hallucinogen use and so are too broad. Hence no exact clinical equivalent is available among the candidates."
Inhalant use in remission,37402469,"Inhalant use, unspecified, in remission",-1,no_match,"None of the candidate concepts represent exactly ""inhalant use in remission."" Concepts that include remission are either too general (e.g., ""Harmful pattern of substance use in remission,"" ""Substance dependence in remission"") or over-specific (e.g., ""Glue sniffing dependence in remission"" specifies a particular inhalant and dependence). Concepts that mention inhalant use do not specify remission (e.g., ""Harmful pattern of use of volatile inhalant""). Therefore, no candidate maintains the same level of specificity and generality as the source term."
Abnormal findings in cerebrospinal fluid,37604135,Abnormal findings in cerebrospinal fluid,4065770,Cerebrospinal fluid examination abnormal,"The SNOMED concept 4065770 ""Cerebrospinal fluid examination abnormal"" (synonym: ""Nonspecific abnormal findings in cerebrospinal fluid"") represents any abnormal result detected in a CSF examination without specifying the type of abnormality. This exactly matches the source term’s scope—abnormal findings in cerebrospinal fluid—without adding or omitting clinical detail. All other candidates introduce additional specificity (e.g., immunological, cytological, microbiological) or represent different constructs (procedures, individual analyte abnormalities)."
Abnormal liver function studies,37604162,Abnormal results of liver function studies,438878,Liver function tests outside reference range,"Concept 438878 ""Liver function tests outside reference range"" has a synonym ""Abnormal results of liver function studies,"" which exactly matches the clinical meaning of the source term—an abnormal (outside normal reference range) result of liver function studies. It preserves the specificity (abnormality of liver function test results) without adding or omitting clinical details. Other candidates are either procedures (e.g., ""Hepatic function panel""), broader (""Abnormal liver function""), or direction-specific (""above reference range""). Thus 438878 is the single best equivalent."
Adverse effects of antiparkinsonism drugs,37604386,Adverse effects in the therapeutic use of antiparkinsonism drugs,443602,Adverse reaction to antiparkinsonism drug,"The target concept 443602 ""Adverse reaction to antiparkinsonism drug"" exactly represents harmful or undesired effects resulting from the use of any antiparkinsonism medication. It matches the clinical scope (covers all antiparkinsonism drugs), severity and timing are unspecified in both, and it is neither broader (does not include other drug classes) nor narrower (includes all antiparkinsonism agents). Therefore, it is an exact clinical equivalent."
Attention to artificial openings,37604557,Attention to artificial openings,1242753,Attention to stoma,"The source term refers to clinical care or maintenance of surgically created openings (stomas). The target concept 1242753 ""Attention to stoma"" represents the same procedure—providing care to an artificial opening—without specifying location or type, preserving the exact level of specificity. Other candidates are either too general (e.g., ""Patient encounter procedure""), unrelated (e.g., cognitive ""Attention""), or focused on different structures or contexts, so they are inappropriate. Therefore, concept 1242753 is an exact clinical equivalent."
"Acute onset vascular dementia with hallucinatory symptoms, severe",37604869,"Acute onset vascular dementia with other, mainly hallucinatory symptoms, severe",-1,no_match,"No candidate includes all required details (vascular dementia + acute onset + hallucinations + severe). The closest term, ""Vascular dementia of acute onset"" (concept_id 4046089), lacks both the hallucinatory feature and the severity qualifier, so it is less specific than the source. All other candidates either lack the acute-onset qualifier, the hallucinations, the severity specification, or the vascular etiology. Therefore no exact clinical equivalent exists among the candidate concepts."
"Dementia in Creutzfeldt-Jakob disease with predominantly hallucinatory symptoms, mild",37605180,"Dementia in Creutzfeldt-Jakob disease, with other symptoms, predominantly hallucinatory, mild",-1,no_match,"No candidate preserves all critical attributes of the source term (etiology = Creutzfeldt-Jakob disease, predominant hallucinatory symptoms, and mild severity). The closest candidate (concept_id 4180284: ""Dementia due to Creutzfeldt Jakob disease"") lacks both the specification of hallucinatory symptoms and the mild stage, making it broader than the source. All other candidates either omit the Creutzfeldt-Jakob etiology or the hallucinatory/mild qualifiers, or introduce different etiologies, thus none is an exact clinical equivalent."
Hereditary factor VIII deficiency,37605894,Hereditary factor VIII deficiency,434007,Hereditary factor VIII deficiency disease,"Concept 434007 ""Hereditary factor VIII deficiency disease"" represents the same clinical condition as the source term: a congenital/hereditary deficiency of coagulation factor VIII (Hemophilia A). It preserves the same specificity (hereditary etiology, factor VIII, no added qualifiers such as severity or inhibitor status) and is neither broader nor more specific than the source term. Other candidates are either more specific (e.g., with/without inhibitor, severity levels) or broader (e.g., generic factor VIII deficiency including acquired forms)."
Benign lipomatous neoplasm,37606067,Benign lipomatous neoplasm,4112852,Benign lipomatous tumor,"Concept 4112852 ""Benign lipomatous tumor"" is semantically equivalent to the source term. Both denote a benign neoplasm composed of adipose tissue (lipomatous). It preserves the same specificity (benign + lipomatous) without adding or omitting clinical details. Other candidates are either morphologic concepts (not clinical disorders), more general (e.g., ""Lipomatous tumor"" includes malignant forms) or site-specific, so they are not exact matches."
Endocarditis and heart valve disorders,37607004,Endocarditis and heart valve disorders in diseases classified elsewhere,-1,no_match,"The source term refers to a combined category that includes BOTH endocarditis and other heart-valve disorders. All candidate concepts represent either (a) endocarditis alone, (b) heart-valve disorders alone, or (c) specific sub-types (infective, rheumatic, prosthetic, etc.). None of them simultaneously and completely covers the full scope of “endocarditis AND heart valve disorders.” Therefore no exact clinical equivalent exists among the provided targets."
Diseases of Bartholin gland,37607152,Other diseases of Bartholin gland,4103650,Disorder of Bartholin's gland,"The source term denotes any pathological condition of the Bartholin gland. The target concept 4103650 ""Disorder of Bartholin's gland"" is a direct synonym (""Disorder of Bartholin gland"") covering the full range of diseases of this gland without adding or omitting clinical detail, so it is an exact equivalent."
Alveolar and parietoalveolar conditions,37607287,Alveolar and parietoalveolar conditions,4252581,Alveolar pneumopathy,"The source term refers to pathologic conditions affecting the pulmonary alveoli and the adjacent parieto-alveolar region. SNOMED concept 4252581 ""Alveolar pneumopathy"" denotes alveolar lung disease and, in its hierarchy, explicitly includes ""Parietoalveolar pneumopathy"" as a child, thereby covering both alveolar and parietoalveolar disorders. It matches the scope and level of specificity of the source without adding or omitting clinically relevant detail. Other candidates are either broader (e.g., ""Disorder of lung""), limited to only one component (e.g., ""Parietoalveolar pneumopathy"" alone), or refer to unrelated dental or measurement concepts. Hence 4252581 is the exact clinical equivalent."
Noise exposure,37607571,Exposure to noise,434238,Exposed to noise,"The source term refers generically to having been subjected to noise. The SNOMED concept 434238 ""Exposed to noise (event)"" is an exact semantic equivalent, representing the state/event of exposure to noise without adding or omitting clinical details. Other candidates are either more specific (e.g., occupational exposure) or represent different notions (noise pollution, intolerance, resulting disorders). Therefore, concept 434238 is the precise match."
Adverse effects of aminoglycosides,37607584,Adverse effects in the therapeutic use of aminoglycosides,4099883,Aminoglycosides adverse reaction,"Concept 4099883 ""Aminoglycosides adverse reaction"" explicitly represents adverse reactions (effects) to the class of aminoglycoside antibiotics, matching the source term in both scope and specificity. Other candidates are either broader (e.g., ""Antibacterial drug adverse reaction""), narrower (e.g., reactions to specific aminoglycosides), or describe different clinical scenarios such as poisoning or nephropathy, and therefore are not exact equivalents."
Non-neuropathic heredofamilial amyloidosis,37608257,Non-neuropathic heredofamilial amyloidosis,4030362,Familial non-neuropathic amyloidosis,"Concept 4030362 ""Familial non-neuropathic amyloidosis"" has the synonym ""Nonneuropathic heredofamilial amyloidosis,"" which is an exact wording match to the source term. It captures the same level of specificity (hereditary/familial amyloidosis explicitly characterized as non-neuropathic) without adding or omitting clinical details. All other candidates are either more specific (e.g., limited to heart, brain, kidney) or represent neuropathic forms, making them non-equivalent. Therefore, concept 4030362 is the precise clinical equivalent."
Nonrheumatic tricuspid valve stenosis with insufficiency,37609039,Nonrheumatic tricuspid (valve) stenosis with insufficiency,4111414,Non-rheumatic tricuspid valve stenosis with insufficiency,"The target concept 4111414 ""Non-rheumatic tricuspid valve stenosis with insufficiency"" exactly matches the source term in valve (tricuspid), pathology (concurrent stenosis and insufficiency/regurgitation), and etiology (non-rheumatic). No other candidate matches all these aspects without being broader or more specific. Therefore it is a precise clinical equivalent."
Active stage of trachoma,37609802,Active stage of trachoma,375736,"Trachoma, active stage","The target concept ""Trachoma, active stage"" (concept_id 375736) precisely matches the source term in both condition (trachoma) and specific disease stage (active). It is neither broader nor more specific, and no additional or missing clinical details exist. All other candidates are either different stages (e.g., initial), general (trachoma without stage), sequelae, other chlamydial conditions, procedures, lab tests, or unrelated disorders. Hence, concept_id 375736 is the exact equivalent."
Malignant neoplasm of overlapping sites of corpus uteri,37610053,Malignant neoplasm: Overlapping lesion of corpus uteri,198082,Overlapping malignant neoplasm of body of uterus,"Concept 198082 ""Overlapping malignant neoplasm of body of uterus"" is clinically identical to the source term: it represents a malignant tumor located in overlapping sites within the corpus uteri (body of uterus). It preserves the malignancy, anatomic location, and the ""overlapping"" qualifier without adding or omitting any clinical details."
Extra marker chromosomes,37611262,Extra marker chromosomes,40480271,Extra unidentified structurally abnormal chromosome,"The source term describes the presence of one or more additional marker chromosomes—small, structurally abnormal chromosomes whose origin is unidentified. SNOMED concept 40480271 ""Extra unidentified structurally abnormal chromosome"" has the synonym ""Marker chromosome"" and captures exactly the same clinical situation: an extra, unidentified, structurally abnormal (marker) chromosome. It neither adds extra qualifiers (e.g., familial, specific chromosome type) nor omits any key detail. Therefore it is an exact clinical equivalent."
Rotator cuff syndrome,37611631,Rotator cuff syndrome,-1,no_match,"None of the candidate concepts exactly correspond to the unlateralized condition ""Rotator cuff syndrome.""  • ""Disorder of rotator cuff"" is broader (includes any disorder, not necessarily the syndrome).  • Laterality-specified concepts (right, left, bilateral rotator cuff syndrome) are more specific than the source.  • Concepts such as ""rotator cuff impingement syndrome,"" ""inflammation of rotator cuff tendon,"" ""impingement syndrome of shoulder region,"" and various tendinitis/tear concepts describe particular subtypes or related but narrower conditions.  Because all available candidates are either overly general or overly specific, no exact semantic match exists among them."
Pilonidal cyst without abscess,37611822,Pilonidal cyst without abscess,4165681,Pilonidal cyst,"Concept 4165681 ""Pilonidal cyst"" represents the same clinical condition—a pilonidal cyst without specifying or implying the presence of an abscess. It matches the source term in type, severity, and location (general pilonidal area) without adding or omitting clinically relevant details. Other candidates are either more general (""Pilonidal disease""), more specific (e.g., chronic, natal cleft), represent a different lesion type (sinus), or explicitly involve an abscess, making them unsuitable."
Endometrial glandular hyperplasia,37613302,Endometrial glandular hyperplasia,200775,Endometrial hyperplasia,"In standard gynecologic pathology, ""endometrial hyperplasia"" refers to a proliferation of the endometrial glands (i.e., glandular hyperplasia). Adding the word ""glandular"" does not change the clinical entity or narrow it to a particular subtype (e.g., simple, complex, atypical). Among the candidates, concept 200775 ""Endometrial hyperplasia"" captures exactly this condition without adding or omitting clinically relevant detail. All other candidates are either specific sub-types (simple, cystic, atypical) or more general (non-site-specific glandular hyperplasia) and therefore do not meet the required equivalence."
Acne excoriée,37613645,Acn� excori�e ,4004094,Excoriated acne,"The target concept ""Excoriated acne"" directly corresponds to the French term ""Acne excoriée"" (also listed as synonym ""Acne excoriee des jeunes filles""). It preserves the full clinical specificity (acne lesions secondarily excoriated by scratching) without adding or omitting details, making it an exact clinical equivalent."
Hepatitis A with hepatic coma,37613740,Hepatitis A with hepatic coma,194856,Hepatic coma due to viral hepatitis A,"Concept 194856 (""Hepatic coma due to viral hepatitis A"") explicitly represents hepatitis A complicated by hepatic coma, maintaining the same etiology (type A viral hepatitis) and presence of hepatic coma. No other candidate preserves both the specific virus type (A) and the coma complication without adding or omitting clinical details."
"Mental disorders and diseases of the nervous system complicating pregnancy, childbirth and puerperium",37613827,"Mental disorders and diseases of the nervous system complicating pregnancy, childbirth and the puerperium",-1,no_match,"The source term requires BOTH (1) mental disorders AND (2) diseases of the nervous system as complications of pregnancy, childbirth, or puerperium. 
• Concept 4063155 covers only nervous system diseases.
• Concept 4060424 and several others cover only mental disorders.
• Concepts such as 435875 are too broad (any complication).
None of the candidate concepts simultaneously include both required categories without adding or omitting clinical detail. Therefore, no exact match exists among the provided candidates."
Supervision of normal first pregnancy,37614022,Supervision of normal first pregnancy,4061424,Antenatal care: primigravida,"The source term refers to antenatal supervision for a woman in her first (primigravida) and otherwise normal pregnancy. Concept 4061424 ""Antenatal care: primigravida"" is a procedure describing antenatal (supervisory) care specifically for primigravida patients, matching both the supervision aspect and the first-pregnancy specificity without adding high-risk qualifiers. All other candidates are either too general (e.g., routine antenatal care, supervision), lack the primigravida detail, or relate to high-risk pregnancies, so they do not meet the specificity requirements."
Type 2 diabetes mellitus with neurological complications,37614126,"Type 2 diabetes mellitus, with neurological complications",376065,Disorder of nervous system due to type 2 diabetes mellitus,"Concept 376065 ""Disorder of nervous system due to type 2 diabetes mellitus"" captures exactly a neurological complication (any nervous system disorder) attributable to type 2 diabetes mellitus, matching the clinical meaning of the source term without adding or omitting details."
Arterial embolism and thrombosis,37615395,Embolism and thrombosis of other arteries,312337,Arterial embolus and thrombosis,"Concept 312337 ""Arterial embolus and thrombosis"" describes the combined presence of both arterial embolism and arterial thrombosis, matching the full clinical meaning of the source term without adding or omitting any detail. All other candidates are either broader, narrower, or omit one of the two components (embolism or thrombosis)."
Artery dissection,37622382,Artery dissection,46272492,Dissection of artery,"The source term describes a general arterial dissection without specifying location, acuity, etiology, or laterality. Concept 46272492 “Dissection of artery” is an exact SNOMED disorder term that represents arterial dissection in general. It retains the same level of specificity—neither broader (it excludes non-arterial dissections) nor narrower (it does not constrain to a particular artery or circumstance). All other candidate concepts are more specific (e.g., internal carotid, coronary) and therefore violate the ‘Do not over-specify’ rule. Hence 46272492 is the single correct match."
Allergic purpura,42483611,Allergic purpura,4101602,Immunoglobulin A vasculitis,"The clinical term “Allergic purpura” is historically synonymous with Henoch-Schönlein purpura / anaphylactoid purpura, now formally named Immunoglobulin A (IgA) vasculitis. Target concept 4101602 carries these exact synonyms and describes the same small-vessel vasculitis characterized by purpura secondary to IgA immune-complex deposition. No additional details are added and no information is lost, so it is an exact clinical equivalent."
Brucellosis due to Brucella melitensis,42483830,Brucellosis due to Brucella melitensis,443590,Infection caused by Brucella melitensis,"The source term specifies a brucellosis infection caused by the organism Brucella melitensis. The target concept 443590 ""Infection caused by Brucella melitensis"" is a disorder representing brucellosis due to this specific pathogen, matching precisely in etiology and clinical meaning without adding or omitting details. No other candidate is equally specific and appropriate."
Zoonotic bacterial disease,42483858,"Zoonotic bacterial disease, unspecified",-1,no_match,"None of the candidate concepts is an exact clinical equivalent. Concepts such as ""Bacterial infectious disease"" or ""Communicable diseases, bacterial"" are broader and do not specify zoonotic transmission, while terms like ""Tularemia"" are far more specific (one particular zoonotic bacterial disease). Therefore no listed concept preserves the same level of specificity as the source term."
Plasmodium malariae malaria without complication,42484445,Plasmodium malariae malaria without complication,-1,no_match,"No candidate concept explicitly represents uncomplicated Plasmodium malariae malaria. The closest term, ""Quartan malaria"" (concept_id 438353), is broader because it encompasses both complicated and uncomplicated cases, thus failing the requirement to preserve the source term’s explicit qualifier ""without complication."" All other candidates are either too general, specify different species, represent laboratory entities, or describe complicated forms."
"Malignant melanoma of upper limb, including shoulder",42484898,"Malignant melanoma of upper limb, including shoulder",438983,Malignant melanoma of skin of upper limb,"The source term refers to a malignant melanoma located on the skin of the upper limb (explicitly including the shoulder). Concept 438983 ""Malignant melanoma of skin of upper limb"" is a SNOMED disorder that represents malignant melanoma of the skin over the entire upper limb region, which anatomically includes the shoulder. It matches the malignancy type (melanoma), tissue (skin), and anatomic scope (upper limb including shoulder) without adding or omitting clinical specificity. Alternative candidates are either too broad (e.g., 4149851 lacks skin specification) or too narrow/specific to sub-sites (e.g., 4247714 shoulder only) or use a non-preferred vocabulary (ICDO3). Therefore, concept 438983 is the best exact equivalent."
Anaemia in chronic diseases,42485777,Anaemia in other chronic diseases classified elsewhere,437247,Anemia of chronic disease,"Concept 437247 ""Anemia of chronic disease"" is clinically equivalent: it denotes anemia occurring in the setting of chronic systemic disorders/inflammatory diseases, which matches the source term. It carries the same level of specificity (not broader like generic anemia, nor narrower like kidney-related or infection-specific anemia)."
Nontoxic goitre,42485922,"Nontoxic goitre, unspecified",141825,Simple goiter,"Concept 141825 ""Simple goiter"" is explicitly synonymous with ""Non-toxic goiter / goitre"" and represents an enlarged thyroid gland without thyrotoxicosis, exactly matching the source term in clinical meaning without adding or omitting detail."
Persistent mood [affective] disorder,42486701,"Persistent mood[affective] disorder, unspe- cified",-1,no_match,"The source term corresponds to the ICD-10 category F34, encompassing chronic mood (affective) disorders such as dysthymia and cyclothymia. No candidate maintains exactly this level of specificity.
• 444100 ""Mood disorder"" is broader (includes acute and episodic forms).
• 607543 ""Persistent depressive disorder"", 433440 ""Dysthymia"", 440696 ""Cyclothymia"", and similar entries are narrower (represent individual subtypes within the category).
• Other candidates either describe different constructs (e.g., adjustment disorder, affect findings) or add qualifiers (severity, remission, medical cause).
Therefore, none of the provided target concepts is an exact clinical equivalent."
headache syndromes,42487129,Other headache syndromes,375527,Headache disorder,"The source term refers to the clinical group of headache-related syndromes/disorders in general. The SNOMED concept 375527 ""Headache disorder"" represents the same broad class of conditions (i.e., any disorder characterized primarily by headache). It matches the level of specificity (not limited to a single subtype, location, or etiology) and is neither broader nor narrower than the source. Other candidates (e.g., ""Headache"" symptom, specific subtypes such as cluster headache or cough headache) are either findings, overly specific, or context/observation concepts, so they are not equivalent."
nerve root and plexus disorders,42487203,Other nerve root and plexus disorders,43531046,Disorder of nerve root and/or plexus,"The source term describes any pathological condition affecting nerve roots and/or nerve plexuses. The SNOMED concept 43531046 ""Disorder of nerve root and/or plexus"" is an exact semantic equivalent—covering all disorders of both structures without adding extra specificity (e.g., cause, site, or laterality) and without being broader (it does not include disorders outside nerve roots/plexuses). Therefore it is the single best match."
Congenital and developmental myasthenia,42487274,Congenital and developmental myasthenia,4046356,Congenital myasthenic syndrome,"The source term describes myasthenia that is present from birth or early development. ""Congenital myasthenic syndrome"" (concept_id 4046356) is the standard term for inherited, congenital-onset disorders of neuromuscular transmission producing myasthenia. It fully captures the congenital/developmental nature without adding extra specificity or omitting required detail. Other candidates are either broader (e.g., genetically determined myasthenia) or narrower (familial infantile myasthenia), so 4046356 is the exact clinical equivalent."
Nonrheumatic mitral valve disorder,42488431,"Nonrheumatic mitral valve disorder, unspecified",45769461,Non-rheumatic mitral valve disease,"Concept 45769461 'Non-rheumatic mitral valve disease' matches exactly the clinical meaning of the source term: a disorder/disease of the mitral valve that is specified as non-rheumatic. It preserves the same valve (mitral) and the non-rheumatic etiology without adding or omitting detail. Other candidates are either broader (e.g., non-rheumatic heart valve disorder) or more specific subtypes (e.g., non-rheumatic mitral stenosis or regurgitation), so 45769461 is the single exact equivalent."
Isolated myocarditis,42488458,Isolated myocarditis,4143969,Isolated (Fiedler's) myocarditis,"The target concept ""Isolated (Fiedler's) myocarditis"" (concept_id 4143969) explicitly names the same clinical entity as the source term. ""Fiedler's myocarditis"" is historically synonymous with isolated myocarditis, indicating myocarditis occurring without associated pericardial or endocardial disease. No additional specificity or generalization is introduced, so it is an exact clinical match."
Nonspecific lymphadenitis,42488804,Nonspecific lymphadenitis,-1,no_match,"The source term specifies lymphadenitis of nonspecific (unknown) etiology. None of the candidates represents this exact concept.  
• Lymphadenitis (316084) is broader because it includes both specific and nonspecific forms.  
• Nonspecific mesenteric adenitis (4147494) is restricted to the mesenteric lymph nodes, adding an anatomic detail not present in the source.  
• All other candidates either add acuity (acute/chronic), location (cervical, inguinal, mesenteric, etc.), histology (granulomatous, necrotizing), or describe lymphadenopathy rather than lymphadenitis.  
Because no target concept matches “nonspecific lymphadenitis” exactly, no suitable mapping is available."
"Chronic obstructive pulmonary disease with acute exacerbation, mild",42489033,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified, mild",-1,no_match,"No candidate concept includes both required elements: (1) chronic obstructive pulmonary disease with an acute exacerbation and (2) specification of mild severity. Concepts either lack the exacerbation aspect (e.g., 4196712) or lack the mild qualifier (e.g., 257004). Therefore, an exact clinical equivalent is not present."
"Chronic respiratory failure, type I [hypoxic]",42489166,"Chronic respiratory failure, type I [hypoxic]",4177862,Chronic hypoxemic respiratory failure,"The source term specifies chronic respiratory failure of type I (hypoxemic). Concept 4177862 is ""Chronic hypoxemic respiratory failure"" with synonyms ""Chronic type I respiratory failure,"" which exactly preserves chronicity and the hypoxemic (type I) specification. All other candidates are either acute, hypercapnic (type II), mixed, or lack the chronic qualifier, making them non-equivalent."
Sensitive dentine,42489309,Sensitive dentine,4028685,Sensitive dentin,"The source term refers to hypersensitivity of dentine. Concept 4028685 ""Sensitive dentin"" in SNOMED is clinically identical, with synonyms ""Dentine hypersensitivity"" and ""Sensitive dentin"", matching the spelling variant without adding or omitting clinical details. Other candidates are either more specific (e.g., root sensitivity, sensitivity to specific stimuli) or unrelated. Therefore, 4028685 is the exact equivalent."
disorders of teeth and supporting structures,42489446,Other specified disorders of teeth and supporting structures,201603,Disorder of teeth AND/OR supporting structures,"The SNOMED concept 201603 ""Disorder of teeth AND/OR supporting structures"" precisely captures the same clinical category as the source term, encompassing any pathological condition affecting the teeth themselves or their supporting tissues. It neither adds extra specificity nor omits any element present in the source term. All other candidate concepts are either broader (e.g., ""Disease of mouth"") or narrower (e.g., ""Periodontal disease"")."
Acute erosion of stomach with haemorrhage,42489523,Acute erosion of stomach with haemorrhage,-1,no_match,"The source term specifies three key elements: (1) an erosion (not ulcer), (2) located in the stomach, (3) acute in onset, and (4) accompanied by hemorrhage. No candidate concept contains all of these simultaneously. 
- Concept 4143871 provides erosion with hemorrhage but lacks the qualifier ""acute."" 
- Concept 4087594 provides an acute gastric erosion but omits hemorrhage. 
- Concepts that mention hemorrhage and acute status (e.g., 4231580) describe gastric ulcers, not erosions, and therefore do not match the pathology. 
Because none of the targets preserve the full specificity of the source term, no exact equivalent exists among the provided concepts."
functional intestinal disorders,42489776,Other specified functional intestinal disorders,196151,Functional disorder of intestine,"The source term denotes functional (non-structural) disorders of the intestine. SNOMED concept 196151 ""Functional disorder of intestine"" captures exactly the same clinical idea—functional (i.e., motility or sensory) abnormalities limited to the intestine. It preserves the same anatomic scope and level of specificity, differing only in grammatical number. No other candidate is an equally precise match; alternatives are either broader (e.g., involving the whole GI tract) or different in meaning. Therefore concept_id 196151 is the exact equivalent."
diseases of pancreas,42489995,Other diseases of pancreas,192963,Disorder of pancreas,"The source term refers broadly to any pathologic condition of the pancreas. In SNOMED, the concept 192963 ""Disorder of pancreas"" is the umbrella term that encompasses all pancreatic diseases (inflammatory, neoplastic, degenerative, congenital, etc.). It preserves the same level of breadth and clinical meaning as the source term without adding or omitting key specifics. Other candidates are either too specific (e.g., pancreatitis, fibrosis, polycystic disease) or pertain to separate contexts (injury, endocrine-only). Therefore concept_id 192963 is the exact clinical equivalent."
diseases of digestive system,42490022,Other diseases of digestive system,4201745,Disorder of digestive system,"The source term refers broadly to any diseases affecting the digestive system. SNOMED concept 4201745 ""Disorder of digestive system"" captures the same scope: any pathological condition of the digestive system. It is neither broader (does not extend beyond digestive system) nor more specific (does not restrict to subtype, chronicity, pregnancy, etc.). Therefore it is an exact clinical equivalent."
Allergic contact dermatitis due to dyes,42490152,Allergic contact dermatitis due to dyes,4064029,Allergic contact dermatitis caused by dye,"The target concept ""Allergic contact dermatitis caused by dye"" (4064029) exactly matches the clinical meaning of the source term, specifying both the type of dermatitis (allergic contact) and the etiology (dyes). It preserves all clinical details (allergic, contact, dermatitis, dye-related) without adding or omitting information. No other candidate is a closer or equally precise match."
